"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,2746361.556706121,1177964710.5619335
"BRA",2002,3507049.4403590276,1611051644.6624374
"BRA",2003,3248526.734428092,1478305310.969154
"BRA",2004,3848770.78970877,1884753108.3877144
"BRA",2005,3486562.705496231,1816124252.277643
"BRA",2006,2876804.7469672207,1460418720.042145
"BRA",2007,2621820.1779264794,1280186889.3580418
"BRA",2008,2444308.038316915,1243626807.9305985
"BRA",2009,1817901.2327587293,941143962.1161509
"BRA",2010,2688896.1762660136,1385966798.7927554
"BRA",2011,1923363.6945466704,1035820338.3989782
"BRA",2012,2918633.141024019,1516838370.9523327
"BRA",2013,1945506.2526936717,1093546396.0513086
"BRA",2014,2693134.29548955,1563108507.1542664
"BRA",2015,2222772.417530961,1398101594.1781843
"BRA",2016,5378844.034540875,3306076820.2957215
"BRA",2017,4519833.171433777,2711123719.2630615
"BRA",2018,2948462.0802694205,1871296361.8674064
"BRA",2019,2696748.7992548584,1740522346.2490904
"BRA",2020,3291391.7865261594,1961237561.1673377
