"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,465542.98364394094,293797837.9910456
"BRA",2002,1621765.134928412,964450108.975888
"BRA",2003,1570575.591442785,919839231.7228657
"BRA",2004,2016477.1587567506,1234223137.590238
"BRA",2005,1824425.4670717954,1166065794.9287472
"BRA",2006,1415580.2978652592,895130042.6151806
"BRA",2007,1149563.4328954178,709473143.8450913
"BRA",2008,1075145.5037008813,684622730.6895171
"BRA",2009,700169.314720874,464902017.57892877
"BRA",2010,1153025.3096298617,728453719.9320619
"BRA",2011,803048.8945641867,509672795.53785306
"BRA",2012,1116088.2327608766,722606208.8268061
"BRA",2013,632093.5068057368,410119023.59664285
"BRA",2014,940904.5886590071,607347437.0116565
"BRA",2015,828870.0208000306,542117361.4031098
"BRA",2016,2830977.4449739703,1820993242.155036
"BRA",2017,2134649.2539558862,1296022217.4409785
"BRA",2018,1347132.9838733037,894514536.0081983
"BRA",2019,1361094.4427590128,909275920.1031673
"BRA",2020,1704091.5402177437,1065073859.5530285
